web-scraper-order,web-scraper-start-url,Price_raw,City_raw,Discipline_raw,Title_raw,Description_raw
"1733932050-1","https://www.ehorses.de/search?dum=dum&land=4?pn=446","40,000 € bis 70,000 €","Sint-Martens-Lennik","Springen","","Holsteiner, Wallach, 7 Jahre, 169 cm, Schwarzbrauner"
"1733932050-2","https://www.ehorses.de/search?dum=dum&land=4?pn=446","15,000 €","Meerhout","Dressur","","Belgisches Warmblut, Stute, 5 Jahre, 174 cm, Rappe"
"1733932050-3","https://www.ehorses.de/search?dum=dum&land=4?pn=446","20,000 € bis 40,000 €","Pulheim","Dressur - Zucht - Springen - Freizeit
                
                    
                    Gestüt Geuchberg","Vielversprechender gekörter Hengst von Fusionist","Hannoveraner, Hengst, 4 Jahre, 168 cm, Brauner"
"1733932050-4","https://www.ehorses.de/search?dum=dum&land=4?pn=446","7,900 €","Pedralba","Dressur - Working Equitation - Barock - Vielseitigkeit","","PRE, Hengst, 3 Jahre, 165 cm, Apfelschimmel"
"1733932050-5","https://www.ehorses.de/search?dum=dum&land=4?pn=446","30,000 €","Coruche","Dressur - Schau - Barock - Zucht
                
                    
                    Horseliberty Lucia Amelie","","Lusitanos, Hengst, 4 Jahre, 161 cm, Schimmel"
"1733932050-6","https://www.ehorses.de/search?dum=dum&land=4?pn=446","3,450 € VB","Achtmaal","Freizeit
                
                    
                    Stal Doorstap","","Sonstige Rassen, Stute, 12 Jahre, 163 cm, Fuchs"
"1733932050-7","https://www.ehorses.de/search?dum=dum&land=4?pn=446","20,000 € bis 40,000 €","Lissabon","Dressur - Working Equitation - Zucht
                
                    
                    Udo Sauerzapf","Grossrahmiger Lusitano mit sehr viel Potential","Lusitanos, Hengst, 3 Jahre, 168 cm, Brauner"
"1733932050-8","https://www.ehorses.de/search?dum=dum&land=4?pn=446","10,000 € bis 15,000 €","Cegléd","Dressur","Weihnachten Aktion","Hannoveraner, Wallach, 8 Jahre, 167 cm, Brauner"
"1733932050-9","https://www.ehorses.de/search?dum=dum&land=4?pn=446","15,000 € bis 20,000 €","Cegléd","Springen - Hunter - Dressur","Verkauf eines außergewöhnlichen Sportpferdes","Deutsches Sportpferd, Wallach, 8 Jahre, 168 cm, Schimmel"
"1733932050-10","https://www.ehorses.de/search?dum=dum&land=4?pn=446","10,000 € bis 15,000 €","Cegléd","Dressur","Toll Dressur wallach","KWPN, Wallach, 6 Jahre, 172 cm, Rappe"
"1733932050-11","https://www.ehorses.de/search?dum=dum&land=4?pn=446","10,000 € bis 15,000 €","Cegléd","Dressur","Top stute zu hause","Hannoveraner, Stute, 5 Jahre, 165 cm, Dunkelbrauner"
"1733932050-12","https://www.ehorses.de/search?dum=dum&land=4?pn=446","10,000 € bis 15,000 €","Cegléd","Dressur","4-Jahr exclusive Dressur stute","Hannoveraner, Stute, 4 Jahre, 168 cm, Rappe"
"1733932050-13","https://www.ehorses.de/search?dum=dum&land=4?pn=446","14,900 €","Karlsfeld","Dressur - Freizeit","Bildschöne Stute, Dressur, in seltener Farbe mit top Abstammung!","Deutsches Sportpferd, Stute, 5 Jahre, 170 cm, Dunkelfuchs"
